Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/03  08:00:00,1.968577249,3.78904398,0,3.755963803,0,0.096810524,0.096810524,0.096810524,0.301621517,0.064977292,0.207405929,0.480263352,0.785854635
 01/03  09:00:00,1.89639117,3.692827734,0,3.664860356,0,0.094508225,0.094508225,0.094508225,0.288786568,0.062212303,0.268690649,0.406034923,0.759514502
 01/03  10:00:00,1.645976143,3.704006033,0,3.680203533,0,0.094968196,0.094968196,0.094968196,0.147602041,0.031797395,0.330033496,0.345568553,0.679362463
 01/03  11:00:00,1.562645435,4.449091233,0,4.424728937,0,0.114745328,0.114745328,0.114745328,0.121932142,0.026267417,0.34487662,0.353695754,0.584484175
 01/03  12:00:00,1.475772925,3.744423706,0,3.720053946,0,0.096252586,0.096252586,0.096252586,0.121932142,0.026267417,0.361119726,0.353804116,0.499752938
 01/03  13:00:00,1.385455794,3.398285699,0,3.374326456,0,0.087255187,0.087255187,0.087255187,0.121932142,0.026267417,0.351845974,0.347844169,0.433666905
 01/03  14:00:00,1.321796615,3.294554208,0,3.269766468,0,0.084771497,0.084771497,0.084771497,0.121932142,0.026267417,0.317847783,0.359872426,0.39446135
 01/03  15:00:00,1.285115265,3.267731456,0,3.241547959,0,0.08420351,0.08420351,0.08420351,0.128349577,0.027649903,0.292642171,0.380136245,0.35548986
 01/03  16:00:00,1.357746842,3.158014853,0,3.130375888,0,0.081473021,0.081473021,0.081473021,0.160436991,0.034562383,0.302863616,0.401266965,0.360499866
 01/03  17:00:00,1.660025501,3.104155127,0,3.071463075,0,0.079879796,0.079879796,0.079879796,0.269534103,0.058064812,0.353720743,0.474628493,0.407553554
 01/03  18:00:00,2.254304846,3.851816537,0,3.812100919,0,0.099381954,0.099381954,0.099381954,0.500563357,0.107834641,0.445069937,0.576597765,0.508213192
 01/03  19:00:00,2.65690185,3.141877235,0,3.098758061,0,0.080054634,0.080054634,0.080054634,0.744427561,0.160369476,0.398283704,0.626011142,0.601111332
